"seq_id","run_id","year","sample_collection_date","outbreak_place","region","province","district","locality","display","decimal_date"
"107_2018_illumina","illumina",2018,"25-Mar-18","Arequipa","Arequipa","Arequipa","Cerro Colorado","M. Vargas Llosa","107_2018_illumina",2018.22739726027
"107_2021_aqp12","aqp12",2021,"20-Mar-21","El Pedregal","Arequipa","Caylloma","Majes","El Pedregal","107_2021",2021.21369863014
"1101786_meta-illumina","meta-illumina",2011,"26-Mar-11","Puno","Puno","Azangaro","Caminaca","San Pedro","1101786",2011.2301369863
"1101787_meta-illumina","meta-illumina",2011,"3-Mar-11","Puno","Puno","Azangaro","Caminaca","San Sebastian","1101787",2011.16712328767
"1203037_meta-illumina","meta-illumina",2012,"8-May-12","Puno","Puno","Puno","Atuncolla","Ticanipampa","1203037",2012.34972677596
"121_2019_illumina","illumina",2019,"22-Apr-19","Arequipa","Arequipa","Arequipa","Cerro Colorado","M. Vargas Llosa","121_2019_illumina",2019.30410958904
"126_2021_aqp14","aqp14",2021,"31-Mar-21","Arequipa","Arequipa","Arequipa","Cerro Colorado","Av cerrillos","126_2021",2021.24383561644
"145_2022_aqp14","aqp14",2022,"9-Jun-22","Arequipa","Arequipa","Arequipa","Cerro Colorado","JLByR sector 5","145_2022",2022.43561643836
"147_2021_aqp12","aqp12",2021,"19-Apr-21","El Pedregal","Arequipa","Caylloma","Majes","El Pedregal","147_2021",2021.29589041096
"147_2022_aqp14","aqp14",2022,"10-Jun-22","Arequipa","Arequipa","Arequipa","Yura","Perlas de Yura","147_2022",2022.43835616438
"158_2022_aqp14","aqp14",2022,"21-Jun-22","Arequipa","Arequipa","Arequipa","Jacobo Hunter","Tingo Grande","158_2022",2022.46849315068
"172_2022_aqp14","aqp14",2022,"8-Jul-22","Arequipa","Arequipa","Arequipa","Cayma","Los Pioneros","172_2022",2022.51506849315
"173_2023_aqp14","aqp14",2023,"12-Jul-22","Arequipa","Arequipa","Arequipa","Jacobo Hunter","San Juan de Dios","173_2023",2022.52602739726
"182_2019_illumina","illumina",2022,"16-Jun-19","Arequipa","Arequipa","Arequipa","Alto Selva Alegre","Avis Cruce Chilina","182_2019_illumina",2019.45479452055
"202_2021_aqp12","aqp12",2021,"14-Jun-21","El Pedregal","Arequipa","Caylloma","Majes","El Pedregal","202_2021",2021.44931506849
"219_2022_aqp14","aqp14",2022,"31-Aug-22","Arequipa","Arequipa","Arequipa","Characato","Yanayaco","219_2022",2022.66301369863
"231_2021_aqp14","aqp14",2021,"15-Jul-21","Arequipa","Arequipa","Arequipa","Cerro Colorado","JLByR sector 5","231_2021",2021.53424657534
"236_2022_aqp12","aqp12",2022,"7-Sep-22","El Pedregal","Arequipa","Caylloma","Majes","El Pedregal","236_2022",2022.68219178082
"250_2021_aqp12","aqp12",2021,"10-Aug-21","El Pedregal","Arequipa","Caylloma","Majes","El Pedregal","250_2021",2021.60547945205
"251_2021_aqp12","aqp12",2021,"10-Aug-21","El Pedregal","Arequipa","Caylloma","Majes","El Pedregal","251_2021",2021.60547945205
"30_2021_aqp14","aqp14",2021,"5-Feb-21","Arequipa","Arequipa","Arequipa","Yura","Ciudad de Dios","30_2021",2021.09589041096
"31_2021_aqp14","aqp14",2021,"8-Feb-21","Arequipa","Arequipa","Arequipa","Cerro Colorado","Las Flores","31_2021",2021.10410958904
"34_2021_aqp12","aqp12",2021,"10-Feb-21","El Pedregal","Arequipa","Caylloma","Majes","El Pedregal","34_2021",2021.1095890411
"3553_2010_illumina","illumina",2010,"2010","Puno","Puno","Azangaro","","","3553_2010_illumina",NA
"375_2017_illumina","illumina",2017,"23-Nov-17","Arequipa","Arequipa","Arequipa","Mariano Melgar","Asc. Los Rosales","375_2017_illumina",2017.89315068493
"40_2021_aqp14","aqp14",2021,"15-Feb-21","Arequipa","Arequipa","Arequipa","Cerro Colorado","Pedro P. Diaz","40_2021",2021.12328767123
"52_2021_aqp12","aqp12",2021,"24-Feb-21","El Pedregal","Arequipa","Caylloma","Majes","El Pedregal","52_2021",2021.14794520548
"56_2021_aqp14","aqp14",2021,"27-Feb-21","Arequipa","Arequipa","Arequipa","Yura","Altiplano Profundo","56_2021",2021.15616438356
"560_2015_illumina","illumina",2015,"7-Sep-15","Arequipa","Arequipa","Arequipa","Mariano Melgar","Psje Sr. De Huanca MZ2 L6","560_2015_illumina",2015.68219178082
"61_2021_aqp14","aqp14",2021,"1-Mar-21","Arequipa","Arequipa","Arequipa","Cerro Colorado","Lomas Grupo 3","61_2021",2021.16164383562
"68_2021_aqp12","aqp12",2021,"3-Mar-21","El Pedregal","Arequipa","Caylloma","Majes","El Pedregal","68_2021",2021.16712328767
"71_2021_aqp12","aqp12",2021,"6-Mar-21","El Pedregal","Arequipa","Caylloma","Majes","El Pedregal","71_2021",2021.17534246575
"73_2021_aqp12","aqp12",2021,"6-Mar-21","El Pedregal","Arequipa","Caylloma","Majes","El Pedregal","73_2021",2021.17534246575
"90_2021_aqp14","aqp14",2021,"13-Mar-21","Arequipa","Arequipa","Arequipa","Yura","Camineros","90_2021",2021.19452054795
